User 1     User 2     Similarity
 Luckson_O           Luckson_O              1.0
 Luckson_O           tiger052374              0.0
 Luckson_O           KaiserAntoinee              0.0
 Luckson_O           BartekZgrajka              0.0
 Luckson_O           vankarumang              0.0
 Luckson_O           DynamikFocus              0.0
 Luckson_O           zielweltschmerz              0.0
 Luckson_O           ReallyDontTrump              0.0
 Luckson_O           detshady6425              0.0
 Luckson_O           HavokGoneOOC              0.0
 Luckson_O           AMO4551              0.0
 Luckson_O           GlasgowsVoice              0.0
 Luckson_O           EgidioB_USAFan              0.0
 Luckson_O           SESPride              0.0
 Luckson_O           LaaautyLopez              0.0
 Luckson_O           Gueven8              0.0
 Luckson_O           gavinboyce23333              0.0
 Luckson_O           C_Rich75              0.0
 Luckson_O           matiusco              0.0
 Luckson_O           pedrommmoreira1              0.0
 Luckson_O           LivinTheDreamFC              0.0
 Luckson_O           MiguelSuppo_              0.0
 Luckson_O           ZacBarrient              1.0
 Luckson_O           AskMicheleFirst              0.0
 Luckson_O           imTerrah              0.0
 Luckson_O           RoulaDouglas              0.0
 Luckson_O           Nate_Santana1              1.0
 Luckson_O           cball47              0.0
 Luckson_O           F_Miah_786              0.0
 Luckson_O           qcexclusive              0.0
 Luckson_O           kennethkilpatri              0.0
 Luckson_O           SaraRoc05191903              0.0
 Luckson_O           babatundemuham6              0.0
 Luckson_O           Ga_Bunnie              0.0
 Luckson_O           CoryRHuston              0.0
 Luckson_O           Phileosophos              0.0
 Luckson_O           deadpeoplecom              0.0
 Luckson_O           fadlala5              0.0
 Luckson_O           Kendidally              0.0
 Luckson_O           Therybass              0.0
 Luckson_O           KrysBaylor              0.0
 Luckson_O           Agamewillwin1              0.0
 Luckson_O           NZFCLUB              0.0
 Luckson_O           tudor1_b              0.0
 Luckson_O           SoloCruzAzul10              1.0
 Luckson_O           myfamliTM              0.0
 Luckson_O           MyFamil12              0.0
 Luckson_O           djrresto              0.0
 Luckson_O           jgraylock              0.0
 Luckson_O           rachcurley20              0.0
 Luckson_O           jen_iZest              0.0
 Luckson_O           JoshMahar2y              1.0
 Luckson_O           TiresAndMoreInc              0.0
 Luckson_O           Gahamarilla7              0.0
 Luckson_O           JamesReporting              0.0
 Luckson_O           MihalitsaE              0.0
 Luckson_O           maloran23              1.0
 Luckson_O           alhrabeboss88              0.0
 Luckson_O           Tiffanyta5              0.0
 Luckson_O           ilovefijitours              0.0
 Luckson_O           PeytonChandler_              1.0
 Luckson_O           uriplacis              0.0
 Luckson_O           jinx_juggs              0.0
 Luckson_O           king_kahlan              0.0
 Luckson_O           ImSthrnYall              0.0
 Luckson_O           Nidssss15              1.0
 Luckson_O           TomGoatszn              1.0
 Luckson_O           ArtioWyvern              0.0
 Luckson_O           Barbato01Jp              0.0
 Luckson_O           FitnessSyncer              0.0
 Luckson_O           chris_carrier96              1.0
 Luckson_O           eduar_korn              1.0
 Luckson_O           vitabea              0.0
 tiger052374           PolskiFailer              0.0
 tiger052374           alexchevalier1              0.0
 tiger052374           Luckson_O              0.0
 tiger052374           tiger052374              1.0
 tiger052374           KaiserAntoinee              0.0
 tiger052374           BartekZgrajka              0.0
 tiger052374           vankarumang              0.0
 tiger052374           DynamikFocus              0.0
 tiger052374           zielweltschmerz              0.0
 tiger052374           ReallyDontTrump              0.0
 tiger052374           detshady6425              0.0
 tiger052374           HavokGoneOOC              0.0
 tiger052374           AMO4551              0.0
 tiger052374           GlasgowsVoice              0.0
 tiger052374           EgidioB_USAFan              0.0
 tiger052374           SESPride              0.0
 tiger052374           LaaautyLopez              0.0
 tiger052374           Gueven8              0.0
 tiger052374           gavinboyce23333              0.0
 tiger052374           C_Rich75              0.0
 tiger052374           matiusco              0.0
 tiger052374           pedrommmoreira1              0.0
 tiger052374           LivinTheDreamFC              0.0
 tiger052374           MiguelSuppo_              0.0
 tiger052374           ZacBarrient              0.0
 tiger052374           AskMicheleFirst              0.0
 tiger052374           imTerrah              0.0
 tiger052374           RoulaDouglas              0.0
 tiger052374           Nate_Santana1              0.0
 tiger052374           cball47              0.0
 tiger052374           F_Miah_786              0.0
 tiger052374           qcexclusive              0.0
 tiger052374           kennethkilpatri              0.0
 tiger052374           SaraRoc05191903              0.0
 tiger052374           babatundemuham6              0.0
 tiger052374           Ga_Bunnie              0.0
 tiger052374           CoryRHuston              0.0
 tiger052374           Phileosophos              0.0
 tiger052374           deadpeoplecom              0.0
 tiger052374           fadlala5              0.0
 tiger052374           Kendidally              0.0
 tiger052374           Therybass              0.0
 tiger052374           KrysBaylor              0.0
