User 1     User 2     Similarity
 Luckson_O           AskMicheleFirst              0.0
 Luckson_O           RoulaDouglas              0.0
 Luckson_O           Nate_Santana1              1.0
 Luckson_O           cball47              0.0
 Luckson_O           F_Miah_786              0.0
 Luckson_O           claireworth1685              0.0
 Luckson_O           kennethkilpatri              0.0
 Luckson_O           SaraRoc05191903              0.0
 Luckson_O           babatundemuham6              0.0
 Luckson_O           Ga_Bunnie              0.0
 Luckson_O           jillianebean              0.0
 Luckson_O           s_nailee              0.0
 Luckson_O           fadlala5              0.0
 Luckson_O           jchqx_              0.0
 Luckson_O           Therybass              0.0
 Luckson_O           Agamewillwin1              0.0
 Luckson_O           NZFCLUB              0.0
 Luckson_O           tudor1_b              0.0
 Luckson_O           SoloCruzAzul10              1.0
 Luckson_O           HolianVI              0.0
 Luckson_O           MyFamil12              0.0
 Luckson_O           djrresto              0.0
 Luckson_O           rachcurley20              0.0
 Luckson_O           HaririAli              0.0
 Luckson_O           JoshMahar2y              1.0
 Luckson_O           PGHMayors              0.0
 Luckson_O           MihalitsaE              0.0
 Luckson_O           maloran23              1.0
 Luckson_O           Tiffanyta5              0.0
 Luckson_O           PeytonChandler_              1.0
 Luckson_O           uriplacis              0.0
 Luckson_O           Nidssss15              1.0
 Luckson_O           TomGoatszn              1.0
 Luckson_O           jillconan368              0.0
 Luckson_O           Barbato01Jp              0.0
 Luckson_O           chris_carrier96              1.0
 Luckson_O           eduar_korn              1.0
 Luckson_O           cocoloony              0.0
 tiger052374           PolskiFailer              0.0
 tiger052374           alexchevalier1              0.0
 tiger052374           Luckson_O              0.0
 tiger052374           tiger052374              1.0
 tiger052374           BartekZgrajka              0.0
 tiger052374           vankarumang              0.0
 tiger052374           DynamikFocus              0.0
 tiger052374           500pxrtg              0.0
 tiger052374           BramcoteToday              0.0
 tiger052374           detshady6425              0.0
 tiger052374           unitedcycleride              0.0
 tiger052374           HavokGoneOOC              0.0
 tiger052374           AMO4551              0.0
 tiger052374           GlasgowsVoice              0.0
 tiger052374           EgidioB_USAFan              0.0
 tiger052374           LaaautyLopez              0.0
 tiger052374           Gueven8              0.0
 tiger052374           gavinboyce23333              0.0
 tiger052374           pedrommmoreira1              0.0
 tiger052374           Positive_Pulse              0.0
 tiger052374           DawnRomanick              0.0
 tiger052374           guruwan2b              0.0
 tiger052374           MiguelSuppo_              0.0
 tiger052374           ZacBarrient              0.0
 tiger052374           amanda_wowk              0.0
 tiger052374           maivinhalliwell              0.0
 tiger052374           AskMicheleFirst              0.0
 tiger052374           RoulaDouglas              0.0
 tiger052374           Nate_Santana1              0.0
 tiger052374           cball47              0.0
 tiger052374           F_Miah_786              0.0
 tiger052374           claireworth1685              0.0
 tiger052374           kennethkilpatri              0.0
 tiger052374           SaraRoc05191903              0.0
 tiger052374           babatundemuham6              0.0
 tiger052374           Ga_Bunnie              0.0
 tiger052374           jillianebean              0.0
 tiger052374           s_nailee              0.0
 tiger052374           fadlala5              0.0
 tiger052374           jchqx_              0.0
 tiger052374           Therybass              0.0
 tiger052374           Agamewillwin1              0.0
 tiger052374           NZFCLUB              0.0
 tiger052374           tudor1_b              0.0
 tiger052374           SoloCruzAzul10              0.0
 tiger052374           HolianVI              0.0
 tiger052374           MyFamil12              0.0
 tiger052374           djrresto              0.0
 tiger052374           rachcurley20              0.0
 tiger052374           HaririAli              0.0
 tiger052374           JoshMahar2y              0.0
 tiger052374           PGHMayors              0.0
 tiger052374           MihalitsaE              0.0
 tiger052374           maloran23              0.0
 tiger052374           Tiffanyta5              0.0
 tiger052374           PeytonChandler_              0.0
 tiger052374           uriplacis              0.0
 tiger052374           Nidssss15              0.0
 tiger052374           TomGoatszn              0.0
 tiger052374           jillconan368              0.0
 tiger052374           Barbato01Jp              0.0
 tiger052374           chris_carrier96              0.0
 tiger052374           eduar_korn              0.0
 tiger052374           cocoloony              0.0
 BartekZgrajka           PolskiFailer              1.0
 BartekZgrajka           alexchevalier1              0.0
 BartekZgrajka           Luckson_O              0.0
 BartekZgrajka           tiger052374              0.0
 BartekZgrajka           BartekZgrajka              1.0
 BartekZgrajka           vankarumang              0.0
 BartekZgrajka           DynamikFocus              0.0
 BartekZgrajka           500pxrtg              0.0
 BartekZgrajka           BramcoteToday              0.0
 BartekZgrajka           detshady6425              0.0
 BartekZgrajka           unitedcycleride              0.0
 BartekZgrajka           HavokGoneOOC              0.0
 BartekZgrajka           AMO4551              0.0
 BartekZgrajka           GlasgowsVoice              0.0
 BartekZgrajka           EgidioB_USAFan              0.0
 BartekZgrajka           LaaautyLopez              0.0
 BartekZgrajka           Gueven8              0.0
 BartekZgrajka           gavinboyce23333              1.0
 BartekZgrajka           pedrommmoreira1              1.0
 BartekZgrajka           Positive_Pulse              0.0
 BartekZgrajka           DawnRomanick              0.0
 BartekZgrajka           guruwan2b              0.0
 BartekZgrajka           MiguelSuppo_              0.0
 BartekZgrajka           ZacBarrient              0.0
 BartekZgrajka           amanda_wowk              0.0
 BartekZgrajka           maivinhalliwell              0.0
 BartekZgrajka           AskMicheleFirst              0.0
 BartekZgrajka           RoulaDouglas              0.0
 BartekZgrajka           Nate_Santana1              0.0
 BartekZgrajka           cball47              0.0
 BartekZgrajka           F_Miah_786              0.0
 BartekZgrajka           claireworth1685              0.0
 BartekZgrajka           kennethkilpatri              1.0
 BartekZgrajka           SaraRoc05191903              0.0
 BartekZgrajka           babatundemuham6              0.0
 BartekZgrajka           Ga_Bunnie              0.0
 BartekZgrajka           jillianebean              0.0
 BartekZgrajka           s_nailee              0.0
 BartekZgrajka           fadlala5              1.0
 BartekZgrajka           jchqx_              0.0
 BartekZgrajka           Therybass              0.0
 BartekZgrajka           Agamewillwin1              0.0
 BartekZgrajka           NZFCLUB              0.0
 BartekZgrajka           tudor1_b              0.0
 BartekZgrajka           SoloCruzAzul10              0.0
 BartekZgrajka           HolianVI              0.0
 BartekZgrajka           MyFamil12              0.0
 BartekZgrajka           djrresto              0.0
 BartekZgrajka           rachcurley20              0.0
 BartekZgrajka           HaririAli              0.0
 BartekZgrajka           JoshMahar2y              0.0
 BartekZgrajka           PGHMayors              0.0
 BartekZgrajka           MihalitsaE              0.0
 BartekZgrajka           maloran23              0.0
 BartekZgrajka           Tiffanyta5              0.0
 BartekZgrajka           PeytonChandler_              0.0
 BartekZgrajka           uriplacis              0.0
 BartekZgrajka           Nidssss15              0.0
 BartekZgrajka           TomGoatszn              0.0
 BartekZgrajka           jillconan368              0.0
 BartekZgrajka           Barbato01Jp              1.0
 BartekZgrajka           chris_carrier96              0.0
 BartekZgrajka           eduar_korn              0.0
 BartekZgrajka           cocoloony              0.0
 vankarumang           PolskiFailer              0.0
 vankarumang           alexchevalier1              0.0
